numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;driver_principal;z_score_driver;tipo_anomalia
1588;2022;Pregão Eletrônico;Publicado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO  - MATERIAL DESCARTÁVEL, A SABER - COLETOR DE URINA, ESCOVA PARA LIMPEZA DE CANULADOS, TUBO PARA COLETA DE SANGUE, PLACA DE PETRI, PIPETA GRADUADA, LAMÍNULAS, TUBO DE COLETA, MICROTUBO, ENTRE OUTROS, PELO PERÍODO DE 6 MESES, PODENDO SER PRORROGADO NA FORMA LEGAL;UEM-Universidade Estadual de Maringá;Menor Preço;13985901.0;;2099-09-29;;TB_LICITACOES-2022.csv;contratação de empresa especializada para fornecimento de insumos para laboratório - material descartável, a saber - coletor de urina, escova para limpeza de canulados, tubo para coleta de sangue, placa de petri, pipeta graduada, lamínulas, tubo de coleta, microtubo, entre outros, pelo período de 6 meses, podendo ser prorrogado na forma legal;;False;;2099;1;uem-universidade estadual de maringa;Maringá;429660.0;0.681;saude;0.7255037052242643;0.5425061753737738;1.0;Anomalia Crítica;True;ano_abertura;25.33;Padrão Temporal
2;2023;Licitação Presencial - Estatal;Homologado;"O objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do PDZ vigente denominada ANOP01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para  destinação ao projeto de revitalização e implantação do Complexo Turístico Marina Antonina,
conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no EVTEA simplificado, neste Edital e anexos
";APPA-Administração dos Portos de Paranaguá e Antonina;Maior Lance;914942160.0;3515226100.0;2023-10-05;2023-12-05;TB_LICITACOES-2023.csv;o objeto desta licitação é a cessão onerosa de área portuária não operacional de 250.000 metros quadrados, compostas pela área do pdz vigente denominada anop01 com 154.412 metros quadrados e área marítima adicional para viabilização do empreendimento com 95.588 metros quadrados, para destinação ao projeto de revitalização e implantação do complexo turístico marina antonina, conforme projeto conceitual, justificativas, normas e demais especificações estabelecidas no evtea simplificado, neste edital e anexos;3.8420200245226432;True;61.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.6377270422100391;0.9844842239943302;0.11759126953360227;Anomalia Crítica;True;sobrepreco_pct;284.2;Sobrepreço
248;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para execução da obra CONSTRUÇÃO DO CENTRO ESPECIALIZADO EM REABILITAÇÃO - CER - NÍVEL IV do Hospital Universitário Regional dos Campos Gerais, Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR, CEP 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos Anexos XIII, XIV e XVIII.;UEPG-Universidade Estadual de Ponta Grossa;Maior Desconto;1217184952.0;1758.0;2025-01-23;2025-03-27;TB_LICITACOES-2024.csv;contratação de empresa especializada para execução da obra construção do centro especializado em reabilitação - cer - nível iv do hospital universitário regional dos campos gerais, wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos anexos xiii, xiv e xviii.;1.4443162455396507e-06;False;63.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6078782964219257;1.0;0.019695741054814184;Anomalia Crítica;True;populacao_log1p;12.84;Porte Populacional Atípico
139;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - ND 350, legal e executivo ND400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built - ND500, e execução da obra da Torre 2 do Hospital Universitário Regional dos Campos Gerais  Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR,  CEP 84031-510. Os projetos deverão ser desenvolvidos em plataforma BIM -Building Information Modeling, conforme elementos técnicos instrutores e anexos ao edital.;UEPG-Universidade Estadual de Ponta Grossa;Técnica e Preço;10707328790.0;10706000000.0;2025-04-10;2025-05-27;TB_LICITACOES-2024.csv;contratação integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - nd 350, legal e executivo nd400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, as built - nd500, e execução da obra da torre 2 do hospital universitário regional dos campos gerais wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510. os projetos deverão ser desenvolvidos em plataforma bim -building information modeling, conforme elementos técnicos instrutores e anexos ao edital.;0.9998758990196284;False;47.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6063354055425062;0.9849587598294012;0.03840037411216377;Anomalia Crítica;True;populacao_log1p;12.84;Porte Populacional Atípico
17;2023;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o Fundeadouro 6 dos Portos de Paranaguá e Antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no Termo de Referência, Edital e demais documentos técnicos.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;28516784193.0;1.0;2024-03-20;2024-04-29;TB_LICITACOES-2023.csv;contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o fundeadouro 6 dos portos de paranaguá e antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no termo de referência, edital e demais documentos técnicos.;3.506706763399603e-11;False;40.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.6038668100745596;0.989370236240813;0.02561167082517935;Anomalia Crítica;True;gasto_per_capita_log1p;12.15;Gasto per Capita Atípico
134;2021;Concorrência Pública;Deserto;Refeição Para o Restaurante Universitário;UNIOESTE FBELT-Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão;Menor Preço;71517800.0;;2021-12-16;;TB_LICITACOES-2021.csv;refeição para o restaurante universitário;;False;;2021;2;unioeste fbelt-universidade estadual do oeste do parana - campus francisco beltrao;Francisco Beltrão;102312.0;0.751;educacao;0.592237215738585;0.9679552934352893;0.02866009919352862;Anomalia Crítica;True;populacao_log1p;11.54;Porte Populacional Atípico
6;2022;Licitação Presencial - Estatal;Homologado;Contratacao de empresa s de Engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado Cais Leste  Moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no Porto de Paranagua, segundo justificativas e especificacoes presentes no Edital, Termo de Referencia, Projeto Basico e demais elementos anexados pelo setor requisitante. ;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;59334801967.0;10.0;2022-10-05;2022-12-20;TB_LICITACOES-2022.csv;contratacao de empresa s de engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado cais leste moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no porto de paranagua, segundo justificativas e especificacoes presentes no edital, termo de referencia, projeto basico e demais elementos anexados pelo setor requisitante.;1.6853515421795222e-10;False;76.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.5919500996977414;0.9646709272711012;0.032868858337701826;Anomalia Crítica;True;gasto_per_capita_log1p;12.89;Gasto per Capita Atípico
72;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);Publicado;Sistema de Geração de Energia Solar Fotovoltaico, com potência mínima de 7,09 MWP, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no Campus da Universidade Estadual de Londrina UEL. ;UEL-Universidade Estadual de Londrina;Maior Desconto;3224425182.0;;2025-10-24;;TB_LICITACOES-2025.csv;sistema de geração de energia solar fotovoltaico, com potência mínima de 7,09 mwp, conectado à rede on grid e grid zero e sistema de carregadores de veículos elétricos elementos constantes da pasta técnica, no campus da universidade estadual de londrina uel.;;False;;2025;232;uel-universidade estadual de londrina;Londrina;581382.0;0.725;veiculos;0.5823634705756423;0.940766402059103;0.04475907335045142;Anomalia Crítica;True;populacao_log1p;13.27;Porte Populacional Atípico
6;2022;Licitação Eletrônica - Estatal;Homologado;O presente certame tem como objetivo a contratação semi integrada de empresa especializada para Elaboração dos Projetos Executivos e Execução das obras dos 6 seis novos trapiches nas comunidades de Amparo Eufrasina  Europinha Ilha do Teixeira  Piacaguera e Vila Maciel, situados na área de influência direta da dragagem de aprofundamento do Porto de Paranaguá PR, incluindo o fornecimento de todo o material, mão de obra, equipamentos e ferramentas necessárias à completa execução dos serviços, bem como a destinação final dos materiais residuais provenientes da obra, conforme escopo, especificação de serviços e demais condições presentes neste Termo de Referência e demais elementos anexados pelo setor requisitante.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;2275462161.0;1501.0;2022-09-27;2023-01-30;TB_LICITACOES-2022.csv;o presente certame tem como objetivo a contratação semi integrada de empresa especializada para elaboração dos projetos executivos e execução das obras dos 6 seis novos trapiches nas comunidades de amparo eufrasina europinha ilha do teixeira piacaguera e vila maciel, situados na área de influência direta da dragagem de aprofundamento do porto de paranaguá pr, incluindo o fornecimento de todo o material, mão de obra, equipamentos e ferramentas necessárias à completa execução dos serviços, bem como a destinação final dos materiais residuais provenientes da obra, conforme escopo, especificação de serviços e demais condições presentes neste termo de referência e demais elementos anexados pelo setor requisitante.;6.596462141740708e-07;False;125.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5792838512185858;0.9589646806955997;0.009762607003065134;Anomalia Crítica;True;populacao_log1p;11.92;Porte Populacional Atípico
25;2023;Credenciamento;Homologado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA IMPLANTAÇÃO, FORNECIMENTO E ADMINISTRAÇÃO DE AUXÍLIO ALIMENTAÇÃO PARA OS COLABORADORES DA FUNDAÇÃO ARAUCÁRIA;FA-Fundação Araucária;-;156600000.0;156600000.0;2023-10-27;2023-11-07;TB_LICITACOES-2023.csv;contratação de empresa especializada para implantação, fornecimento e administração de auxílio alimentação para os colaboradores da fundação araucária;1.0;False;11.0;2023;2;fa-fundacao araucaria;Araucária;162247.0;0.704;alimentacao;0.5763541803355713;0.9423371517217982;0.02737972325623101;Anomalia Crítica;True;populacao_log1p;12.0;Porte Populacional Atípico
